AxIS Spike File,D:\hMO testing\Raw data\SNCAND34391H_Feb132020\Extracted raw data\Feb132020_ND3439SNCA_WTest3_1h\Feb132020_ND3439SNCA_WTest3_1h(000)(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,600.000000
Active Electrode Criterion (spks/min), 5
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,5.000000
    Min # of Electrodes (%),20.000000
Synchrony Settings,
    Synchrony Window,20.000000

Evoked Analysis Settings,
    Events,0 to 0
    Peri-stimulus Window Start (ms),0.000000
    Peri-stimulus Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Network Bursts,14.000000,16.000000,63.000000,89.000000,22.000000,0.000000,56.000000,43.000000,52.000000,49.000000,0.000000,0.000000,6.000000,35.000000,86.000000,0.000000,18.000000,0.000000,1.000000,16.000000,77.000000,132.000000,73.000000,90.000000
    Network Burst Frequency,0.023333,0.026667,0.105000,0.148333,0.036667, ,0.093333,0.071667,0.086667,0.081667, , ,0.010000,0.058333,0.143333, ,0.030000, ,0.001667,0.026667,0.128333,0.220000,0.121667,0.150000
    Network Burst Duration - Avg (sec),1.218394,1.793095,0.926282,0.743658,0.275105, ,0.335936,0.757072,0.947997,1.175964, , ,0.389467,0.488999,0.803647, ,1.025427, ,0.004160,1.923270,0.409522,0.734963,1.304156,0.876285
    Network Burst Duration - Std (sec),0.250076,1.084761,0.211632,0.215568,0.100350, ,0.246197,0.158236,0.163833,0.152301, , ,0.190441,0.102700,0.168237, ,0.406012, , ,0.195077,0.223377,0.170822,0.412633,0.253565
    Network Burst Duration - Median (sec),1.265480,1.655080,0.929760,0.766880,0.270600, ,0.478400,0.753280,0.959040,1.157840, , ,0.376680,0.469520,0.807160, ,1.080000, ,0.004160,1.894560,0.370160,0.739360,1.342800,0.857080
    Network Burst Duration - MAD (sec),0.080160,0.754520,0.168800,0.122800,0.066600, ,0.121240,0.097760,0.119080,0.098960, , ,0.159360,0.032960,0.122560, ,0.243560, , ,0.187880,0.100000,0.098760,0.250320,0.166600
    Number of Spikes per Network Burst - Avg,255.642857,332.062500,410.253968,236.370787,25.454545, ,474.660714,256.279070,249.942308,214.673469, , ,41.333333,261.514286,177.069767, ,173.666667, ,22.000000,516.750000,91.493506,191.901515,395.945205,176.033333
    Number of Spikes per Network Burst - Std,96.270937,247.430116,76.958298,128.259359,9.782040, ,411.037989,18.776030,29.709320,40.414203, , ,29.056267,80.862400,91.973627, ,111.123143, , ,63.856610,60.114282,100.133640,239.128969,111.139193
    Number of Spikes per Network Burst - Median,272.000000,267.500000,430.000000,246.000000,23.000000, ,685.500000,252.000000,246.500000,220.000000, , ,38.000000,227.000000,170.500000, ,181.000000, ,22.000000,508.000000,79.000000,182.000000,493.000000,159.000000
    Number of Spikes per Network Burst - MAD,44.500000,168.500000,61.000000,106.000000,6.000000, ,214.500000,11.000000,18.000000,29.000000, , ,23.000000,24.000000,73.000000, ,88.000000, , ,32.500000,44.000000,67.000000,185.000000,74.000000
    Mean ISI within Network Burst - Avg (sec),0.007960,0.008210,0.002299,0.005752,0.012108, ,0.002493,0.002977,0.003835,0.005719, , ,0.011846,0.001927,0.006087, ,0.009467, ,0.000198,0.003773,0.005692,0.005217,0.006719,0.008206
    Mean ISI within Network Burst - Std (sec),0.011647,0.009704,0.000520,0.005520,0.004599, ,0.002159,0.000649,0.000651,0.001388, , ,0.004153,0.000256,0.003791, ,0.008829, , ,0.000514,0.002773,0.003706,0.007899,0.008209
    Median ISI within Network Burst - Avg (sec),0.001331,0.003677,0.000742,0.003398,0.006853, ,0.001756,0.001017,0.001412,0.001476, , ,0.008527,0.000832,0.001950, ,0.003760, ,0.000080,0.000917,0.003163,0.002435,0.002909,0.003035
    Median ISI within Network Burst - Std (sec),0.000475,0.005429,0.000126,0.004137,0.002860, ,0.001777,0.000113,0.000194,0.000528, , ,0.003553,0.000102,0.001206, ,0.004167, , ,0.000123,0.001829,0.002358,0.004924,0.003563
    Median/Mean ISI within Network Burst - Avg,0.272951,0.414061,0.333775,0.517944,0.585159, ,0.597637,0.353821,0.376624,0.254412, , ,0.707630,0.435327,0.327144, ,0.358181, ,0.403846,0.244441,0.561840,0.435234,0.343582,0.350476
    Median/Mean ISI within Network Burst - Std,0.084377,0.083046,0.073429,0.110569,0.169967, ,0.172719,0.069720,0.070640,0.042859, , ,0.107722,0.054044,0.070875, ,0.092658, , ,0.023238,0.161872,0.086326,0.100343,0.095224
    ISI CoV within Network Burst - Avg,3.439183,2.480335,4.678897,1.943919,1.399721, ,1.503395,3.764755,3.207780,3.382275, , ,0.923802,2.451887,3.389768, ,2.731635, ,2.308005,3.144041,2.000856,2.307788,3.452926,2.968505
    Number of Elecs Participating in Burst - Avg,10.857143,4.312500,8.873016,5.797753,4.545455, ,11.803571,8.023256,10.288462,14.795918, , ,6.666667,8.457143,8.569767, ,6.000000, ,15.000000,10.625000,5.259740,6.477273,8.301370,6.788889
    Number of Elecs Participating in Burst - Std,1.460092,0.478714,0.851792,1.088992,0.738549, ,3.969977,0.266223,0.847986,1.079730, , ,1.211060,0.918530,2.283139, ,1.455214, , ,0.619139,1.128606,1.101463,1.737534,1.905017
    Number of Elecs Participating in Burst - Median,11.000000,4.000000,9.000000,6.000000,4.000000, ,15.000000,8.000000,10.000000,15.000000, , ,6.500000,8.000000,8.000000, ,5.500000, ,15.000000,11.000000,5.000000,7.000000,9.000000,6.000000
    Number of Elecs Participating in Burst - MAD,1.000000,0.000000,1.000000,1.000000,0.000000, ,0.000000,0.000000,1.000000,1.000000, , ,1.000000,0.000000,1.500000, ,1.000000, , ,0.000000,1.000000,1.000000,1.000000,1.000000
    Number of Spikes per Network Burst per Channel - Avg,23.044489,73.718750,46.363552,39.201110,5.601299, ,32.034220,31.970792,24.447494,14.446255, , ,6.156151,30.794529,19.562349, ,26.699868, ,1.466667,48.547917,16.716543,28.446630,43.837476,24.364957
    Number of Spikes per Network Burst per Channel - Std,7.558106,49.846033,8.478135,20.916010,1.969185, ,26.958250,2.484742,3.450971,2.202722, , ,4.618530,7.855608,6.320958, ,13.362775, , ,4.395674,9.361627,12.368916,23.256490,11.816915
    Number of Spikes per Network Burst per Channel - Median,23.818182,66.875000,45.200000,42.166667,5.550000, ,45.700000,31.500000,23.954545,15.000000, , ,5.151786,28.375000,20.767045, ,29.428571, ,1.466667,48.031818,14.250000,28.000000,51.500000,24.222222
    Number of Spikes per Network Burst per Channel - MAD,4.327273,31.425000,6.700000,12.166667,1.400000, ,14.300000,1.375000,2.440909,1.357143, , ,2.350000,3.125000,4.853147, ,8.342262, , ,2.334848,7.750000,8.450000,15.500000,8.483333
    Network Burst Percentage,62.624672,43.609948,97.886684,85.742816,50.044683, ,53.940907,96.981431,98.462121,90.322858, , ,5.371453,62.134275,96.845586, ,96.810158, ,50.000000,98.124852,86.793150,92.502921,95.219898,94.169044
    Network IBI Coefficient of Variation,1.663236,1.182599,1.497296,1.482855,1.902644, ,2.703849,0.834618,0.212880,0.688578, , ,1.122255,4.588760,2.667089, ,0.532053, , ,0.101114,3.109742,0.998165,1.033766,2.357987
